addr,name,symbol_class,predecessor,pred_last_insns,status,decision,confidence,style,kind,R1,R2,R3,R4,R5,R6,H1,H2,H3,H4,H5,notes,batch_id,decided_at,kind_predicted,direct_callers,shifted_callers,shift_detail,predecessor_terminates,orphan_count,bypass_detected,kind_hint,verdict_hint
0x060454AC,DAT_060454AC,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,2,0,,,,,,has-direct-caller
0x060457A8,DAT_060457A8,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,unknown,4,0,,,,,,has-direct-caller
0x060457DC,DAT_060457DC,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,unknown,26,0,,,,,,has-direct-caller
0x06045858,FUN_06045858,global-FUN,FUN_060457E4,stc|nop,pending,MERGE,,,,,,,,,,,,,,,,,,altentry,0,0,,Y,1,-,callsite-shifted-B,zero-caller
0x0604585C,FUN_0604585C,global-FUN,FUN_06045858,bsr|sts,pending,MERGE,,,,,,,,,,,,,,,,,,altentry,0,0,,N,0,-,dispatch-target,zero-caller
0x060458DA,FUN_060458DA,global-FUN,FUN_0604585C,stc|nop,pending,MERGE,,,,,,,,,,,,,,,,,,altentry,0,0,,Y,1,-,callsite-shifted-B,zero-caller
0x060458DE,FUN_060458DE,global-FUN,FUN_060458DA,bsr|sts,pending,MERGE,,,,,,,,,,,,,,,,,,altentry,0,0,,N,0,-,dispatch-target,zero-caller
0x06045958,DAT_06045958,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,unknown,16,0,,,,,,has-direct-caller
0x0604669E,FUN_0604669E,global-FUN,FUN_0604660A,stc|nop,pending,MERGE,,,,,,,,,,,,,,,,,,altentry,0,0,,Y,1,-,callsite-shifted-B,zero-caller
0x060466A0,FUN_060466A0,global-FUN,FUN_0604669E,sts,pending,MERGE,,,,,,,,,,,,,,,,,,altentry,0,0,,N,0,-,dispatch-target,zero-caller
0x060467B0,DAT_060467B0,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,unknown,1,0,,,,,,has-direct-caller
0x060467B2,FUN_060467B2,global-FUN,FUN_0604674E,stc|nop,pending,KEEP,,,,,,,,,,,,,,,,,,altentry,0,1,-2:1,Y,1,-,callsite-shifted-A,callsite-shifted
0x060467B4,FUN_060467B4,global-FUN,FUN_060467B2,sts,pending,KEEP,,,,,,,,,,,,,,,,,,altentry,0,1,-4:1,N,0,-,callsite-shifted-A,callsite-shifted
0x0604680E,DAT_0604680E,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,altentry,1,1,-2:1,,,,,has-direct-caller
0x060468AE,FUN_060468AE,global-FUN,FUN_0604680C,stc|nop,pending,MERGE,,,,,,,,,,,,,,,,,,altentry,0,0,,Y,1,-,callsite-shifted-B,zero-caller
0x060468B0,FUN_060468B0,global-FUN,FUN_060468AE,sts,pending,MERGE,,,,,,,,,,,,,,,,,,altentry,0,0,,N,0,-,dispatch-target,zero-caller
0x06046A20,FUN_06046A20,global-FUN,FUN_06046990,mov|nop,pending,KEEP,,,,,,,,,,,,,,,,,,altentry,1,0,,Y,1,-,,has-direct-caller
0x060479FC,DAT_060479FC,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x06047A6C,DAT_06047A6C,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x06047A78,DAT_06047A78,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x06047C64,DAT_06047C64,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,1,0,,,,,,has-direct-caller
0x06047C68,DAT_06047C68,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,1,1,-4:1,,,,,has-direct-caller
0x06047D50,DAT_06047D50,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,1,0,,,,,,has-direct-caller
0x06047EA8,FUN_06047EA8,global-FUN,FUN_06047E0C,bt|tst,pending,MERGE,,,,,,,,,,,,,,,,,,altentry,0,0,,Y,6,-,callsite-shifted-B,zero-caller
0x06048010,DAT_06048010,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,1,0,,,,,,has-direct-caller
0x06048248,DAT_06048248,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,1,0,,,,,,has-direct-caller
0x06048254,DAT_06048254,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,1,0,,,,,,has-direct-caller
0x0604833C,DAT_0604833C,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,7,0,,,,,,has-direct-caller
0x0604833E,DAT_0604833E,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,7,-2:7,,,,,has-direct-caller
0x0604C33C,DAT_0604C33C,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604C740,DAT_0604C740,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604C76C,FUN_0604C76C,global-FUN,FUN_060482A8,mov|mov,pending,KEEP-FLAG,,,,,,,,,,,,,,,,,,altentry,0,0,,N,0,-,head,zero-caller
0x0604C96A,DAT_0604C96A,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,1,0,,,,,,has-direct-caller
0x0604C96E,DAT_0604C96E,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,1,1,-4:1,,,,,has-direct-caller
0x0604C972,DAT_0604C972,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,1,2,-4:1;-8:1,,,,,has-direct-caller
0x0604C976,DAT_0604C976,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,1,2,-4:1;-8:1,,,,,has-direct-caller
0x0604C97A,DAT_0604C97A,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,1,2,-4:1;-8:1,,,,,has-direct-caller
0x0604C97E,DAT_0604C97E,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,1,2,-4:1;-8:1,,,,,has-direct-caller
0x0604C982,DAT_0604C982,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,1,2,-4:1;-8:1,,,,,has-direct-caller
0x0604C986,DAT_0604C986,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,1,2,-4:1;-8:1,,,,,has-direct-caller
0x0604C98A,DAT_0604C98A,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,1,2,-4:1;-8:1,,,,,has-direct-caller
0x0604C98E,DAT_0604C98E,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,1,2,-4:1;-8:1,,,,,has-direct-caller
0x0604C992,DAT_0604C992,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,1,2,-4:1;-8:1,,,,,has-direct-caller
0x0604C996,DAT_0604C996,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,1,2,-4:1;-8:1,,,,,has-direct-caller
0x0604C99A,DAT_0604C99A,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,1,2,-4:1;-8:1,,,,,has-direct-caller
0x0604C99E,DAT_0604C99E,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,1,2,-4:1;-8:1,,,,,has-direct-caller
0x0604C9A2,DAT_0604C9A2,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,1,2,-4:1;-8:1,,,,,has-direct-caller
0x0604C9A6,DAT_0604C9A6,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,1,2,-4:1;-8:1,,,,,has-direct-caller
0x0604C9AA,DAT_0604C9AA,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,1,2,-4:1;-8:1,,,,,has-direct-caller
0x0604C9B0,DAT_0604C9B0,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604CA34,DAT_0604CA34,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,4,0,,,,,,has-direct-caller
0x0604CA5E,DAT_0604CA5E,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,1,0,,,,,,has-direct-caller
0x0604CBA4,DAT_0604CBA4,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,sibling-lost,1,0,,,,,,has-direct-caller
0x0604D0F4,FUN_0604D0F4,global-FUN,FUN_0604D042,add|rotcr,pending,KEEP,,,,,,,,,,,,,,,,,,altentry,2,0,,N,0,Y,,has-direct-caller
0x0604D158,DAT_0604D158,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604D16C,DAT_0604D16C,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604D174,DAT_0604D174,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,1,-8:1,,,,,has-direct-caller
0x0604D180,DAT_0604D180,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604D190,DAT_0604D190,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604D1CC,DAT_0604D1CC,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,2,0,,,,,,has-direct-caller
0x0604D204,DAT_0604D204,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604D220,DAT_0604D220,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604D22E,DAT_0604D22E,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604D23C,DAT_0604D23C,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604D24A,DAT_0604D24A,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604D258,DAT_0604D258,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604D268,DAT_0604D268,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604D2A0,DAT_0604D2A0,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604D310,DAT_0604D310,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604D780,DAT_0604D780,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,2,0,,,,,,has-direct-caller
0x0604DA40,FUN_0604DA40,global-FUN,FUN_0604D94C,mov|bt,pending,KEEP,,,,,,,,,,,,,,,,,,altentry,1,0,,N,0,Y,,has-direct-caller
0x0604DA60,FUN_0604DA60,global-FUN,FUN_0604DA40,shll|shll2,pending,KEEP,,,,,,,,,,,,,,,,,,altentry,1,0,,N,0,-,,has-direct-caller
0x0604DAB8,DAT_0604DAB8,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,2,0,,,,,,has-direct-caller
0x0604DEFE,FUN_0604DEFE,global-FUN,FUN_0604DEB0,mov|mov,pending,KEEP,,,,,,,,,,,,,,,,,,altentry,0,1,-18:1,Y,9,-,callsite-shifted-A,callsite-shifted
0x0604DF02,FUN_0604DF02,global-FUN,FUN_0604DEFE,mov|mov,pending,MERGE,,,,,,,,,,,,,,,,,,altentry,0,0,,N,0,-,dispatch-target,zero-caller
0x0604DF12,FUN_0604DF12,global-FUN,FUN_0604DF02,mov|bt,pending,KEEP,,,,,,,,,,,,,,,,,,altentry,1,0,,N,0,-,,has-direct-caller
0x0604DF58,FUN_0604DF58,global-FUN,FUN_0604DF12,mov|add,pending,KEEP,,,,,,,,,,,,,,,,,,altentry,1,0,,Y,11,-,,has-direct-caller
0x0604E040,FUN_0604E040,global-FUN,FUN_0604DF58,mov|mov,pending,MERGE,,,,,,,,,,,,,,,,,,altentry,0,0,,N,0,Y,dispatch-target,zero-caller
0x0604E078,FUN_0604E078,global-FUN,FUN_0604E040,mov|add,pending,KEEP,,,,,,,,,,,,,,,,,,altentry,1,0,,N,0,-,,has-direct-caller
0x0604E09A,FUN_0604E09A,global-FUN,FUN_0604E078,mov|mov,pending,MERGE,,,,,,,,,,,,,,,,,,altentry,0,0,,N,0,-,dispatch-target,zero-caller
0x0604E0BC,FUN_0604E0BC,global-FUN,FUN_0604E09A,mov|mov,pending,MERGE,,,,,,,,,,,,,,,,,,altentry,0,0,,N,0,-,dispatch-target,zero-caller
0x0604E0F6,FUN_0604E0F6,global-FUN,FUN_0604E0BC,mov|mov,pending,MERGE,,,,,,,,,,,,,,,,,,altentry,0,0,,N,0,-,dispatch-target,zero-caller
0x0604E138,DAT_0604E138,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,2,0,,,,,,has-direct-caller
0x0604E144,DAT_0604E144,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604E1C4,DAT_0604E1C4,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604E1DC,DAT_0604E1DC,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,2,0,,,,,,has-direct-caller
0x0604E1F0,DAT_0604E1F0,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604E200,DAT_0604E200,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604E210,DAT_0604E210,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604E220,DAT_0604E220,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604E230,DAT_0604E230,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604E240,DAT_0604E240,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604E2A0,DAT_0604E2A0,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604E340,DAT_0604E340,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604E3D8,DAT_0604E3D8,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604E4E8,DAT_0604E4E8,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604E630,DAT_0604E630,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604E8A0,DAT_0604E8A0,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604E930,DAT_0604E930,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604EA30,DAT_0604EA30,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604EAE8,DAT_0604EAE8,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604EC38,DAT_0604EC38,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604EC4C,DAT_0604EC4C,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604EC50,DAT_0604EC50,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,1,-4:1,,,,,has-direct-caller
0x0604EC54,DAT_0604EC54,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,2,-4:1;-8:1,,,,,has-direct-caller
0x0604EC56,DAT_0604EC56,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,2,-2:1;-6:1,,,,,has-direct-caller
0x0604EC5F,DAT_0604EC5F,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604EC61,DAT_0604EC61,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,1,-2:1,,,,,has-direct-caller
0x0604EC6C,DAT_0604EC6C,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604EC70,DAT_0604EC70,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,1,-4:1,,,,,has-direct-caller
0x0604EC94,DAT_0604EC94,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604ECA0,DAT_0604ECA0,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604ECAD,DAT_0604ECAD,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604ECBA,DAT_0604ECBA,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604ECC8,DAT_0604ECC8,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604ECE0,DAT_0604ECE0,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604ECEA,DAT_0604ECEA,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604ECF0,DAT_0604ECF0,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,1,-6:1,,,,,has-direct-caller
0x0604ECFC,DAT_0604ECFC,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604ED08,DAT_0604ED08,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604ED14,DAT_0604ED14,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604ED20,DAT_0604ED20,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,2,0,,,,,,has-direct-caller
0x0604ED34,DAT_0604ED34,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604ED5C,DAT_0604ED5C,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604ED62,DAT_0604ED62,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,1,-6:1,,,,,has-direct-caller
0x0604ED6C,DAT_0604ED6C,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604ED78,DAT_0604ED78,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604EDC8,DAT_0604EDC8,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,2,0,,,,,,has-direct-caller
0x0604EDE0,DAT_0604EDE0,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604EE28,DAT_0604EE28,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604EE58,DAT_0604EE58,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604EE78,DAT_0604EE78,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604EEC0,DAT_0604EEC0,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604EF08,DAT_0604EF08,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,6,0,,,,,,has-direct-caller
0x0604EF2B,DAT_0604EF2B,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604EF4E,DAT_0604EF4E,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604EFA8,DAT_0604EFA8,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604EFAD,DAT_0604EFAD,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604EFB2,DAT_0604EFB2,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,2,0,,,,,,has-direct-caller
0x0604EFF0,DAT_0604EFF0,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604EFFA,DAT_0604EFFA,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604F000,DAT_0604F000,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,1,-6:1,,,,,has-direct-caller
0x0604F028,DAT_0604F028,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604F050,DAT_0604F050,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604F078,DAT_0604F078,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604F0A0,DAT_0604F0A0,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,3,0,,,,,,has-direct-caller
0x0604F0C0,DAT_0604F0C0,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604F0D0,DAT_0604F0D0,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,3,0,,,,,,has-direct-caller
0x0604F0D8,DAT_0604F0D8,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,3,-8:3,,,,,has-direct-caller
0x0604F128,DAT_0604F128,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604F12C,DAT_0604F12C,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,1,-4:1,,,,,has-direct-caller
0x0604F164,DAT_0604F164,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604F168,DAT_0604F168,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,1,-4:1,,,,,has-direct-caller
0x0604F180,DAT_0604F180,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604F184,DAT_0604F184,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,1,-4:1,,,,,has-direct-caller
0x0604F1C4,DAT_0604F1C4,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604F1C8,DAT_0604F1C8,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,1,-4:1,,,,,has-direct-caller
0x0604F1E0,DAT_0604F1E0,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604F1E4,DAT_0604F1E4,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,1,-4:1,,,,,has-direct-caller
0x0604F214,DAT_0604F214,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604F218,DAT_0604F218,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,1,-4:1,,,,,has-direct-caller
0x0604F238,DAT_0604F238,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604F23C,DAT_0604F23C,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,1,-4:1,,,,,has-direct-caller
0x0604F2AC,DAT_0604F2AC,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604F2AE,DAT_0604F2AE,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,1,-2:1,,,,,has-direct-caller
0x0604F2B0,DAT_0604F2B0,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,2,-2:1;-4:1,,,,,has-direct-caller
0x0604F2D0,DAT_0604F2D0,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604F2D4,DAT_0604F2D4,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,1,-4:1,,,,,has-direct-caller
0x0604F344,DAT_0604F344,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604F348,DAT_0604F348,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,1,-4:1,,,,,has-direct-caller
0x0604F370,DAT_0604F370,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604F374,DAT_0604F374,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,1,-4:1,,,,,has-direct-caller
0x0604F39C,DAT_0604F39C,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
0x0604F3A0,DAT_0604F3A0,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,1,-4:1,,,,,has-direct-caller
0x0604F3B8,DAT_0604F3B8,PROVIDE-alias,,,pending,KEEP,,,,,,,,,,,,,,,,,,data,1,0,,,,,,has-direct-caller
